phv_id	PhenX_id	CDE_primary_name
phv00000084.v2.p1	PX090601030000	Intravascular systolic
phv00000085.v2.p1	PX090601030000	Intravascular systolic
phv00000086.v2.p1	PX090601030000	Intravascular systolic
phv00000087.v2.p1	PX090601030000	Intravascular systolic
phv00000088.v2.p1	PX090601030000	Intravascular systolic
phv00000089.v2.p1	PX090601030000	Intravascular systolic
phv00000090.v2.p1	PX090601030000	Intravascular systolic
phv00000091.v2.p1	PX090601030000	Intravascular systolic
phv00000092.v2.p1	PX090601030000	Intravascular systolic
phv00000093.v2.p1	PX090601030000	Intravascular systolic
phv00000094.v2.p1	PX090601030000	Intravascular systolic
phv00000095.v2.p1	PX090601030000	Intravascular systolic
phv00053859.v2.p1	PX090601030000	Intravascular systolic
phv00053986.v2.p1	PX090601030000	Intravascular systolic
phv00000528.v1.p9	PX090601030000	Intravascular systolic
phv00000530.v1.p9	PX090601030000	Intravascular systolic
phv00000620.v1.p9	PX090601030000	Intravascular systolic
phv00000622.v1.p9	PX090601030000	Intravascular systolic
phv00000640.v1.p9	PX090601030000	Intravascular systolic
phv00000642.v1.p9	PX090601030000	Intravascular systolic
phv00000644.v1.p9	PX090601030000	Intravascular systolic
phv00000719.v1.p9	PX090601030000	Intravascular systolic
phv00000757.v1.p9	PX090601030000	Intravascular systolic
phv00000759.v1.p9	PX090601030000	Intravascular systolic
phv00000833.v1.p9	PX090601030000	Intravascular systolic
phv00000835.v1.p9	PX090601030000	Intravascular systolic
phv00000918.v1.p9	PX090601030000	Intravascular systolic
phv00000920.v1.p9	PX090601030000	Intravascular systolic
phv00001041.v1.p9	PX090601030000	Intravascular systolic
phv00001043.v1.p9	PX090601030000	Intravascular systolic
phv00001195.v1.p9	PX090601030000	Intravascular systolic
phv00001197.v1.p9	PX090601030000	Intravascular systolic
phv00001370.v1.p9	PX090601030000	Intravascular systolic
phv00001372.v1.p9	PX090601030000	Intravascular systolic
phv00001567.v1.p9	PX090601030000	Intravascular systolic
phv00001569.v1.p9	PX090601030000	Intravascular systolic
phv00001809.v1.p9	PX090601030000	Intravascular systolic
phv00001811.v1.p9	PX090601030000	Intravascular systolic
phv00002024.v1.p9	PX090601030000	Intravascular systolic
phv00002026.v1.p9	PX090601030000	Intravascular systolic
phv00002208.v1.p9	PX090601030000	Intravascular systolic
phv00002210.v1.p9	PX090601030000	Intravascular systolic
phv00002429.v1.p9	PX090601030000	Intravascular systolic
phv00002431.v1.p9	PX090601030000	Intravascular systolic
phv00002673.v1.p9	PX090601030000	Intravascular systolic
phv00002675.v1.p9	PX090601030000	Intravascular systolic
phv00002947.v1.p9	PX090601030000	Intravascular systolic
phv00003246.v1.p9	PX090601030000	Intravascular systolic
phv00003306.v1.p9	PX090601030000	Intravascular systolic
phv00003316.v1.p9	PX090601030000	Intravascular systolic
phv00003675.v1.p9	PX090601030000	Intravascular systolic
phv00003688.v1.p9	PX090601030000	Intravascular systolic
phv00004091.v1.p9	PX090601030000	Intravascular systolic
phv00004533.v1.p9	PX090601030000	Intravascular systolic
phv00004546.v1.p9	PX090601030000	Intravascular systolic
phv00005138.v1.p9	PX090601030000	Intravascular systolic
phv00005548.v1.p9	PX090601030000	Intravascular systolic
phv00005766.v1.p9	PX090601030000	Intravascular systolic
phv00005934.v1.p9	PX090601030000	Intravascular systolic
phv00006041.v1.p9	PX090601030000	Intravascular systolic
phv00006512.v1.p9	PX090601030000	Intravascular systolic
phv00006680.v1.p9	PX090601030000	Intravascular systolic
phv00006921.v1.p9	PX090601030000	Intravascular systolic
phv00007572.v5.p9	PX090601030000	Intravascular systolic
phv00007574.v5.p9	PX090601030000	Intravascular systolic
phv00007683.v5.p9	PX090601030000	Intravascular systolic
phv00007685.v5.p9	PX090601030000	Intravascular systolic
phv00008539.v5.p9	PX090601030000	Intravascular systolic
phv00008711.v5.p9	PX090601030000	Intravascular systolic
phv00008756.v5.p9	PX090601030000	Intravascular systolic
phv00008770.v5.p9	PX090601030000	Intravascular systolic
phv00009395.v5.p9	PX090601030000	Intravascular systolic
phv00009558.v5.p9	PX090601030000	Intravascular systolic
phv00009905.v5.p9	PX090601030000	Intravascular systolic
phv00010122.v5.p9	PX090601030000	Intravascular systolic
phv00010360.v5.p9	PX090601030000	Intravascular systolic
phv00010507.v5.p9	PX090601030000	Intravascular systolic
phv00021092.v4.p9	PX090601030000	Intravascular systolic
phv00021239.v4.p9	PX090601030000	Intravascular systolic
phv00024456.v5.p9	PX090601030000	Intravascular systolic
phv00024891.v1.p9	PX090601030000	Intravascular systolic
phv00055256.v5.p9	PX090601030000	Intravascular systolic
phv00055285.v5.p9	PX090601030000	Intravascular systolic
phv00056853.v2.p9	PX090601030000	Intravascular systolic
phv00056863.v2.p9	PX090601030000	Intravascular systolic
phv00070375.v1.p9	PX090601030000	Intravascular systolic
phv00070557.v1.p9	PX090601030000	Intravascular systolic
phv00072138.v4.p9	PX090601030000	Intravascular systolic
phv00072661.v4.p9	PX090601030000	Intravascular systolic
phv00177352.v1.p9	PX090601030000	Intravascular systolic
